n 300
m 26690
e 1 2
e 1 3
e 1 5
e 1 6
e 1 7
e 1 8
e 1 9
e 1 10
e 1 12
e 1 16
e 1 17
e 1 18
e 1 24
e 1 25
e 1 26
e 1 27
e 1 30
e 1 32
e 1 35
e 1 37
e 1 38
e 1 39
e 1 40
e 1 42
e 1 43
e 1 45
e 1 48
e 1 51
e 1 52
e 1 54
e 1 56
e 1 57
e 1 58
e 1 59
e 1 60
e 1 64
e 1 66
e 1 75
e 1 78
e 1 79
e 1 81
e 1 85
e 1 88
e 1 89
e 1 90
e 1 93
e 1 101
e 1 102
e 1 103
e 1 107
e 1 109
e 1 110
e 1 112
e 1 113
e 1 116
e 1 121
e 1 123
e 1 126
e 1 128
e 1 129
e 1 134
e 1 136
e 1 139
e 1 140
e 1 147
e 1 148
e 1 149
e 1 150
e 1 152
e 1 153
e 1 154
e 1 155
e 1 156
e 1 158
e 1 159
e 1 160
e 1 161
e 1 162
e 1 163
e 1 164
e 1 167
e 1 168
e 1 170
e 1 173
e 1 174
e 1 176
e 1 178
e 1 179
e 1 180
e 1 182
e 1 183
e 1 186
e 1 189
e 1 190
e 1 191
e 1 192
e 1 197
e 1 198
e 1 206
e 1 207
e 1 211
e 1 215
e 1 217
e 1 223
e 1 225
e 1 226
e 1 227
e 1 228
e 1 229
e 1 230
e 1 231
e 1 232
e 1 237
e 1 239
e 1 241
e 1 245
e 1 246
e 1 247
e 1 248
e 1 249
e 1 251
e 1 252
e 1 254
e 1 255
e 1 256
e 1 261
e 1 262
e 1 264
e 1 265
e 1 267
e 1 271
e 1 273
e 1 275
e 1 276
e 1 277
e 1 281
e 1 283
e 1 285
e 1 290
e 1 292
e 1 293
e 1 295
e 1 297
e 1 298
e 1 300
e 2 3
e 2 4
e 2 7
e 2 9
e 2 10
e 2 11
e 2 13
e 2 15
e 2 16
e 2 21
e 2 23
e 2 24
e 2 26
e 2 27
e 2 28
e 2 29
e 2 32
e 2 33
e 2 34
e 2 35
e 2 37
e 2 38
e 2 39
e 2 40
e 2 46
e 2 47
e 2 54
e 2 56
e 2 57
e 2 61
e 2 62
e 2 67
e 2 70
e 2 71
e 2 72
e 2 73
e 2 74
e 2 78
e 2 79
e 2 83
e 2 86
e 2 87
e 2 89
e 2 90
e 2 91
e 2 92
e 2 95
e 2 96
e 2 99
e 2 100
e 2 101
e 2 104
e 2 106
e 2 111
e 2 114
e 2 115
e 2 116
e 2 117
e 2 119
e 2 120
e 2 124
e 2 125
e 2 128
e 2 129
e 2 130
e 2 133
e 2 136
e 2 137
e 2 140
e 2 144
e 2 145
e 2 147
e 2 151
e 2 153
e 2 156
e 2 160
e 2 161
e 2 163
e 2 167
e 2 173
e 2 180
e 2 181
e 2 187
e 2 188
e 2 189
e 2 191
e 2 194
e 2 197
e 2 198
e 2 199
e 2 201
e 2 205
e 2 207
e 2 208
e 2 210
e 2 213
e 2 219
e 2 223
e 2 228
e 2 229
e 2 230
e 2 231
e 2 232
e 2 234
e 2 235
e 2 236
e 2 245
e 2 246
e 2 247
e 2 249
e 2 250
e 2 251
e 2 252
e 2 256
e 2 257
e 2 258
e 2 260
e 2 261
e 2 262
e 2 264
e 2 267
e 2 268
e 2 269
e 2 273
e 2 274
e 2 275
e 2 279
e 2 281
e 2 282
e 2 283
e 2 286
e 2 287
e 2 292
e 2 293
e 2 296
e 2 299
e 2 300
e 3 4
e 3 5
e 3 7
e 3 9
e 3 11
e 3 14
e 3 16
e 3 17
e 3 20
e 3 21
e 3 25
e 3 27
e 3 28
e 3 31
e 3 32
e 3 35
e 3 38
e 3 39
e 3 41
e 3 42
e 3 43
e 3 44
e 3 45
e 3 47
e 3 48
e 3 49
e 3 50
e 3 52
e 3 54
e 3 55
e 3 57
e 3 59
e 3 64
e 3 66
e 3 68
e 3 69
e 3 70
e 3 71
e 3 72
e 3 73
e 3 74
e 3 75
e 3 76
e 3 81
e 3 82
e 3 84
e 3 87
e 3 91
e 3 93
e 3 94
e 3 100
e 3 101
e 3 102
e 3 105
e 3 107
e 3 109
e 3 110
e 3 111
e 3 112
e 3 113
e 3 114
e 3 115
e 3 117
e 3 119
e 3 120
e 3 121
e 3 122
e 3 124
e 3 128
e 3 130
e 3 131
e 3 132
e 3 135
e 3 136
e 3 138
e 3 139
e 3 142
e 3 143
e 3 144
e 3 146
e 3 149
e 3 150
e 3 151
e 3 152
e 3 155
e 3 158
e 3 159
e 3 164
e 3 166
e 3 167
e 3 168
e 3 170
e 3 171
e 3 174
e 3 176
e 3 177
e 3 179
e 3 180
e 3 181
e 3 182
e 3 183
e 3 184
e 3 185
e 3 188
e 3 189
e 3 191
e 3 192
e 3 195
e 3 196
e 3 197
e 3 199
e 3 200
e 3 204
e 3 206
e 3 207
e 3 208
e 3 209
e 3 211
e 3 212
e 3 213
e 3 218
e 3 219
e 3 220
e 3 222
e 3 223
e 3 225
e 3 226
e 3 227
e 3 229
e 3 231
e 3 232
e 3 234
e 3 235
e 3 236
e 3 237
e 3 238
e 3 239
e 3 240
e 3 241
e 3 242
e 3 243
e 3 244
e 3 245
e 3 246
e 3 247
e 3 250
e 3 251
e 3 252
e 3 254
e 3 256
e 3 257
e 3 259
e 3 260
e 3 262
e 3 264
e 3 267
e 3 268
e 3 270
e 3 272
e 3 275
e 3 276
e 3 279
e 3 280
e 3 281
e 3 283
e 3 286
e 3 287
e 3 288
e 3 289
e 3 292
e 3 293
e 3 294
e 3 295
e 3 298
e 3 299
e 4 5
e 4 7
e 4 8
e 4 9
e 4 10
e 4 11
e 4 12
e 4 21
e 4 22
e 4 23
e 4 24
e 4 26
e 4 27
e 4 29
e 4 32
e 4 33
e 4 34
e 4 36
e 4 37
e 4 38
e 4 40
e 4 42
e 4 43
e 4 45
e 4 46
e 4 47
e 4 48
e 4 49
e 4 50
e 4 51
e 4 52
e 4 55
e 4 56
e 4 57
e 4 59
e 4 60
e 4 61
e 4 66
e 4 67
e 4 71
e 4 72
e 4 75
e 4 76
e 4 77
e 4 78
e 4 79
e 4 80
e 4 82
e 4 83
e 4 85
e 4 86
e 4 88
e 4 89
e 4 91
e 4 94
e 4 95
e 4 98
e 4 99
e 4 100
e 4 101
e 4 102
e 4 103
e 4 104
e 4 105
e 4 106
e 4 109
e 4 110
e 4 113
e 4 115
e 4 116
e 4 117
e 4 118
e 4 119
e 4 121
e 4 123
e 4 125
e 4 126
e 4 127
e 4 128
e 4 129
e 4 130
e 4 131
e 4 132
e 4 133
e 4 134
e 4 136
e 4 139
e 4 142
e 4 143
e 4 144
e 4 145
e 4 146
e 4 148
e 4 149
e 4 150
e 4 153
e 4 154
e 4 155
e 4 156
e 4 159
e 4 160
e 4 161
e 4 162
e 4 163
e 4 164
e 4 165
e 4 166
e 4 167
e 4 169
e 4 170
e 4 171
e 4 174
e 4 177
e 4 178
e 4 179
e 4 180
e 4 181
e 4 182
e 4 184
e 4 187
e 4 190
e 4 191
e 4 192
e 4 193
e 4 194
e 4 195
e 4 198
e 4 199
e 4 200
e 4 201
e 4 203
e 4 204
e 4 205
e 4 207
e 4 208
e 4 209
e 4 210
e 4 212
e 4 216
e 4 219
e 4 220
e 4 221
e 4 222
e 4 223
e 4 224
e 4 225
e 4 226
e 4 227
e 4 229
e 4 232
e 4 233
e 4 234
e 4 235
e 4 236
e 4 237
e 4 238
e 4 240
e 4 243
e 4 244
e 4 246
e 4 247
e 4 249
e 4 250
e 4 251
e 4 252
e 4 254
e 4 255
e 4 257
e 4 258
e 4 259
e 4 261
e 4 263
e 4 265
e 4 269
e 4 270
e 4 273
